"","datatype","missing records count","percentage"
"Num","numeric","0","0"
"Networth Next Year","numeric","0","0"
"Total assets","numeric","0","0"
"Net worth","numeric","0","0"
"Total income","numeric","198","5.59"
"Change in stock","numeric","458","12.93"
"Total expenses","numeric","139","3.93"
"Profit after tax","numeric","131","3.7"
"PBDITA","numeric","131","3.7"
"PBT","numeric","131","3.7"
"Cash profit","numeric","131","3.7"
"PBDITA as % of total income","numeric","68","1.92"
"PBT as % of total income","numeric","68","1.92"
"PAT as % of total income","numeric","68","1.92"
"Cash profit as % of total income","numeric","68","1.92"
"PAT as % of net worth","numeric","0","0"
"Sales","numeric","259","7.31"
"Income from financial services","numeric","935","26.4"
"Other income","numeric","1295","36.57"
"Total capital","numeric","4","0.11"
"Reserves and funds","numeric","85","2.4"
"Borrowings","numeric","366","10.34"
"Current liabilities & provisions","numeric","96","2.71"
"Deferred tax liability","numeric","1140","32.19"
"Shareholders funds","numeric","0","0"
"Cumulative retained profits","numeric","38","1.07"
"Capital employed","numeric","0","0"
"TOL/TNW","numeric","0","0"
"Total term liabilities / tangible net worth","numeric","0","0"
"Contingent liabilities / Net worth (%)","numeric","0","0"
"Contingent liabilities","numeric","1188","33.55"
"Net fixed assets","numeric","118","3.33"
"Investments","numeric","1435","40.53"
"Current assets","numeric","66","1.86"
"Net working capital","numeric","32","0.9"
"Quick ratio (times)","numeric","93","2.63"
"Current ratio (times)","numeric","93","2.63"
"Debt to equity ratio (times)","numeric","0","0"
"Cash to current liabilities (times)","numeric","93","2.63"
"Cash to average cost of sales per day","numeric","85","2.4"
"Creditors turnover","numeric","333","9.4"
"Debtors turnover","numeric","328","9.26"
"Finished goods turnover","numeric","740","20.9"
"WIP turnover","numeric","640","18.07"
"Raw material turnover","numeric","361","10.19"
"Shares outstanding","numeric","692","19.54"
"Equity face value","numeric","692","19.54"
"EPS","numeric","0","0"
"Adjusted EPS","numeric","0","0"
"Total liabilities","numeric","0","0"
"PE on BSE","numeric","2194","61.96"
"Default","factor","0","0"
